Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,138000.000000,140500.000000,136500.000000,140500.000000,140500.000000,5833436
2021-04-02,142000.000000,143000.000000,140000.000000,141000.000000,141000.000000,3432245
2021-04-05,142000.000000,144500.000000,141000.000000,143000.000000,143000.000000,2616440
2021-04-06,147000.000000,147000.000000,141500.000000,143000.000000,143000.000000,3753217
2021-04-07,146000.000000,146000.000000,142500.000000,143500.000000,143500.000000,2424687
2021-04-08,143500.000000,146000.000000,142500.000000,144000.000000,144000.000000,3774932
2021-04-09,144000.000000,145000.000000,139500.000000,140000.000000,140000.000000,3276077
2021-04-12,140500.000000,140500.000000,136000.000000,137500.000000,137500.000000,3878457
2021-04-13,136000.000000,140000.000000,135500.000000,139500.000000,139500.000000,2876178
2021-04-14,139000.000000,139000.000000,136500.000000,137000.000000,137000.000000,2777203
2021-04-15,136000.000000,139000.000000,136000.000000,137500.000000,137500.000000,2291160
2021-04-16,138500.000000,139000.000000,137500.000000,137500.000000,137500.000000,1982877
2021-04-19,138000.000000,139000.000000,137000.000000,138000.000000,138000.000000,1906782
2021-04-20,136500.000000,138500.000000,136500.000000,138500.000000,138500.000000,2167732
2021-04-21,138000.000000,138000.000000,132000.000000,132500.000000,132500.000000,5120577
2021-04-22,134500.000000,135500.000000,133000.000000,133000.000000,133000.000000,3007457
2021-04-23,130500.000000,132500.000000,128500.000000,132500.000000,132500.000000,4854412
2021-04-26,132500.000000,132500.000000,130500.000000,131500.000000,131500.000000,2904879
2021-04-27,133000.000000,136000.000000,132500.000000,135000.000000,135000.000000,3394650
2021-04-28,134500.000000,135000.000000,130000.000000,130000.000000,130000.000000,5596760
2021-04-29,132000.000000,133000.000000,129000.000000,130000.000000,130000.000000,3738266
2021-04-30,130000.000000,130500.000000,126500.000000,128000.000000,128000.000000,3955947
2021-05-03,127500.000000,132500.000000,127000.000000,131500.000000,131500.000000,4085398
2021-05-04,130500.000000,132000.000000,129000.000000,132000.000000,132000.000000,2547004
2021-05-06,130000.000000,130500.000000,128000.000000,129000.000000,129000.000000,4211535
2021-05-07,128000.000000,131000.000000,127000.000000,129500.000000,129500.000000,3450323
2021-05-10,131000.000000,131000.000000,128500.000000,130000.000000,130000.000000,3067077
2021-05-11,127000.000000,127500.000000,122000.000000,123000.000000,123000.000000,9882491
2021-05-12,123000.000000,123500.000000,119000.000000,119500.000000,119500.000000,8272196
2021-05-13,116000.000000,118500.000000,115500.000000,117500.000000,117500.000000,6042025
2021-05-14,118500.000000,120000.000000,118000.000000,118500.000000,118500.000000,3227201
2021-05-17,120000.000000,120000.000000,117000.000000,117500.000000,117500.000000,3110127
2021-05-18,117500.000000,122000.000000,117500.000000,121000.000000,121000.000000,3470048
2021-05-20,121000.000000,124000.000000,119500.000000,122500.000000,122500.000000,4600751
2021-05-21,124500.000000,125500.000000,121000.000000,122500.000000,122500.000000,4062695
2021-05-24,122000.000000,122500.000000,119000.000000,119500.000000,119500.000000,3188734
2021-05-25,121500.000000,123000.000000,120500.000000,123000.000000,123000.000000,3258364
2021-05-26,124000.000000,124500.000000,122000.000000,123000.000000,123000.000000,3015522
2021-05-27,124500.000000,126000.000000,123000.000000,125500.000000,125500.000000,4539067
2021-05-28,126500.000000,126500.000000,124000.000000,125000.000000,125000.000000,2332971
2021-05-31,126000.000000,127000.000000,124000.000000,127000.000000,127000.000000,2448074
2021-06-01,127000.000000,129000.000000,126000.000000,128500.000000,128500.000000,2819179
2021-06-02,128500.000000,129000.000000,125500.000000,126000.000000,126000.000000,2885654
2021-06-03,127000.000000,130000.000000,126500.000000,129000.000000,129000.000000,3353993
2021-06-04,127500.000000,129000.000000,126500.000000,128500.000000,128500.000000,2555891
2021-06-07,129500.000000,130000.000000,128000.000000,128500.000000,128500.000000,2562918
2021-06-08,127000.000000,127500.000000,125000.000000,127500.000000,127500.000000,4194955
2021-06-09,125500.000000,126000.000000,122500.000000,122500.000000,122500.000000,6087592
2021-06-10,122500.000000,124000.000000,120500.000000,123000.000000,123000.000000,4533076
2021-06-11,124500.000000,128500.000000,124000.000000,128000.000000,128000.000000,4868608
2021-06-14,127000.000000,127500.000000,125500.000000,127000.000000,127000.000000,2022730
2021-06-15,128500.000000,129500.000000,128000.000000,128500.000000,128500.000000,1975082
2021-06-16,128000.000000,129500.000000,127000.000000,129500.000000,129500.000000,1893752
2021-06-17,127000.000000,128000.000000,126000.000000,126500.000000,126500.000000,2123793
2021-06-18,127500.000000,127500.000000,124500.000000,124500.000000,124500.000000,2506112
2021-06-21,121000.000000,123000.000000,120500.000000,122000.000000,122000.000000,3275288
2021-06-22,122500.000000,123500.000000,122000.000000,122000.000000,122000.000000,2179712
2021-06-23,122500.000000,124500.000000,122000.000000,124000.000000,124000.000000,2703658
2021-06-24,124000.000000,126500.000000,123500.000000,126000.000000,126000.000000,2646407
2021-06-25,128000.000000,129000.000000,127500.000000,128500.000000,128500.000000,2531018
2021-06-28,129000.000000,129500.000000,126000.000000,126000.000000,126000.000000,2402730
2021-06-29,127500.000000,128000.000000,125000.000000,125000.000000,125000.000000,2211572
2021-06-30,126500.000000,129500.000000,126000.000000,127500.000000,127500.000000,4346027
2021-07-01,127500.000000,128000.000000,124000.000000,124500.000000,124500.000000,3336174
2021-07-02,122500.000000,123500.000000,121500.000000,122500.000000,122500.000000,3983921
2021-07-05,123500.000000,124500.000000,122500.000000,123000.000000,123000.000000,1632551
2021-07-06,124000.000000,126000.000000,123500.000000,125000.000000,125000.000000,2067135
2021-07-07,125000.000000,125500.000000,122500.000000,123500.000000,123500.000000,2229140
2021-07-08,123500.000000,123500.000000,121000.000000,121500.000000,121500.000000,3165552
2021-07-09,120500.000000,120500.000000,118000.000000,119500.000000,119500.000000,4823577
2021-07-12,121000.000000,122000.000000,119500.000000,120000.000000,120000.000000,2477201
2021-07-13,121000.000000,123500.000000,121000.000000,123000.000000,123000.000000,2879072
2021-07-14,122500.000000,124000.000000,121500.000000,123500.000000,123500.000000,2443087
2021-07-15,123500.000000,124000.000000,122500.000000,123500.000000,123500.000000,1500981
2021-07-16,122000.000000,122500.000000,120500.000000,121500.000000,121500.000000,2905546
2021-07-19,119000.000000,120000.000000,118500.000000,119000.000000,119000.000000,2066638
2021-07-20,117500.000000,119500.000000,117500.000000,118500.000000,118500.000000,2070074
2021-07-21,119500.000000,120000.000000,116500.000000,117000.000000,117000.000000,2864601
2021-07-22,118000.000000,120000.000000,118000.000000,119500.000000,119500.000000,1919233
2021-07-23,118500.000000,119000.000000,117500.000000,118500.000000,118500.000000,1747651
2021-07-26,119500.000000,120000.000000,117000.000000,117000.000000,117000.000000,1836657
2021-07-27,118000.000000,119000.000000,116000.000000,116000.000000,116000.000000,2916330
2021-07-28,115000.000000,115500.000000,112500.000000,114000.000000,114000.000000,6033084
2021-07-29,115000.000000,115500.000000,113000.000000,114000.000000,114000.000000,3054699
2021-07-30,114000.000000,114000.000000,112500.000000,112500.000000,112500.000000,2888566
2021-08-02,113500.000000,117000.000000,113000.000000,116000.000000,116000.000000,4276730
2021-08-03,118000.000000,120500.000000,117000.000000,120000.000000,120000.000000,4396423
2021-08-04,122000.000000,123000.000000,120500.000000,121000.000000,121000.000000,4162635
2021-08-05,121000.000000,121500.000000,118000.000000,120000.000000,120000.000000,3491584
2021-08-06,119000.000000,119500.000000,117500.000000,118000.000000,118000.000000,2209875
2021-08-09,117500.000000,118000.000000,116000.000000,116000.000000,116000.000000,2755724
2021-08-10,115000.000000,115500.000000,112000.000000,112500.000000,112500.000000,5420223
2021-08-11,109000.000000,110000.000000,105000.000000,105500.000000,105500.000000,13715267
2021-08-12,102000.000000,104000.000000,99800.000000,100500.000000,100500.000000,19150647
2021-08-13,99600.000000,101500.000000,98900.000000,101500.000000,101500.000000,11622957
2021-08-17,101000.000000,103500.000000,100500.000000,101500.000000,101500.000000,7851717
2021-08-18,103000.000000,105500.000000,101500.000000,104000.000000,104000.000000,8047599
2021-08-19,103000.000000,105500.000000,101500.000000,102500.000000,102500.000000,6161038
2021-08-20,104000.000000,104500.000000,102000.000000,102500.000000,102500.000000,4719139
2021-08-23,104500.000000,105000.000000,103000.000000,103000.000000,103000.000000,4515699
2021-08-24,104500.000000,105500.000000,104000.000000,105000.000000,105000.000000,4454743
2021-08-25,106000.000000,106000.000000,102500.000000,103500.000000,103500.000000,3194555
2021-08-26,106000.000000,106500.000000,103500.000000,104000.000000,104000.000000,3694741
2021-08-27,103500.000000,104500.000000,101000.000000,103500.000000,103500.000000,3507782
2021-08-30,105000.000000,105500.000000,103500.000000,103500.000000,103500.000000,1815758
2021-08-31,103500.000000,106500.000000,102000.000000,106500.000000,106500.000000,4979276
2021-09-01,106000.000000,108000.000000,104500.000000,108000.000000,108000.000000,4736183
2021-09-02,108000.000000,108500.000000,106000.000000,106500.000000,106500.000000,2724565
2021-09-03,106500.000000,107500.000000,106000.000000,107000.000000,107000.000000,2513486
2021-09-06,106500.000000,107000.000000,105000.000000,106000.000000,106000.000000,1888595
2021-09-07,105500.000000,106000.000000,104000.000000,104500.000000,104500.000000,2547667
2021-09-08,104000.000000,107500.000000,103500.000000,106000.000000,106000.000000,2891267
2021-09-09,105000.000000,106000.000000,103000.000000,103000.000000,103000.000000,3233011
2021-09-10,103500.000000,105500.000000,103000.000000,105000.000000,105000.000000,1999369
2021-09-13,105000.000000,107000.000000,104000.000000,106500.000000,106500.000000,1923344
2021-09-14,107500.000000,108500.000000,106500.000000,107500.000000,107500.000000,2463248
2021-09-15,107500.000000,107500.000000,105500.000000,107500.000000,107500.000000,2933797
2021-09-16,107000.000000,107500.000000,104000.000000,104000.000000,104000.000000,3602821
2021-09-17,104500.000000,107500.000000,104000.000000,107000.000000,107000.000000,3386517
2021-09-23,105500.000000,107000.000000,105000.000000,105500.000000,105500.000000,2493313
2021-09-24,106000.000000,106500.000000,104000.000000,104000.000000,104000.000000,2236954
2021-09-27,104000.000000,105500.000000,103500.000000,104500.000000,104500.000000,1839358
2021-09-28,105000.000000,105500.000000,103000.000000,103500.000000,103500.000000,2951945
2021-09-29,101000.000000,102000.000000,99700.000000,100000.000000,100000.000000,6353977
2021-09-30,99900.000000,103500.000000,99600.000000,103000.000000,103000.000000,3910557
2021-10-01,102000.000000,102500.000000,100000.000000,100000.000000,100000.000000,2681124
2021-10-05,98900.000000,99500.000000,97200.000000,97900.000000,97900.000000,3244145
2021-10-06,98400.000000,98700.000000,95800.000000,96500.000000,96500.000000,2816951
2021-10-07,96300.000000,96800.000000,95000.000000,95700.000000,95700.000000,3834957
2021-10-08,96200.000000,96300.000000,93500.000000,94000.000000,94000.000000,4098832
2021-10-12,92400.000000,92900.000000,90800.000000,91500.000000,91500.000000,4728215
2021-10-13,90900.000000,93500.000000,90500.000000,92000.000000,92000.000000,3045438
2021-10-14,92400.000000,94500.000000,92100.000000,93800.000000,93800.000000,2414639
2021-10-15,96000.000000,98500.000000,95700.000000,98400.000000,98400.000000,4229748
2021-10-18,98300.000000,98300.000000,96700.000000,97100.000000,97100.000000,2111399
2021-10-19,98600.000000,98600.000000,97100.000000,97700.000000,97700.000000,1400175
2021-10-20,98200.000000,98600.000000,97200.000000,97900.000000,97900.000000,2010529
2021-10-21,97300.000000,98300.000000,96100.000000,96300.000000,96300.000000,2152221
2021-10-22,95500.000000,99200.000000,95500.000000,98500.000000,98500.000000,1962833
2021-10-25,99500.000000,101500.000000,98300.000000,100000.000000,100000.000000,2950459
2021-10-26,101500.000000,103500.000000,101000.000000,102000.000000,102000.000000,3458645
2021-10-27,103000.000000,104000.000000,101500.000000,101500.000000,101500.000000,2859255
2021-10-28,102000.000000,107500.000000,101500.000000,106500.000000,106500.000000,6329703
2021-10-29,107000.000000,108500.000000,103000.000000,103000.000000,103000.000000,4007223
2021-11-01,103500.000000,107000.000000,102500.000000,106500.000000,106500.000000,3118661
2021-11-02,107000.000000,108500.000000,106500.000000,107500.000000,107500.000000,2892292
2021-11-03,108500.000000,109000.000000,104500.000000,105500.000000,105500.000000,3116506
2021-11-04,107000.000000,108000.000000,105500.000000,106000.000000,106000.000000,2059242
2021-11-05,108000.000000,108500.000000,105500.000000,107000.000000,107000.000000,2523345
2021-11-08,107000.000000,108000.000000,104000.000000,107500.000000,107500.000000,2212348
2021-11-09,108000.000000,110000.000000,107500.000000,109000.000000,109000.000000,3440686
2021-11-10,108500.000000,109500.000000,107500.000000,108500.000000,108500.000000,2361295
2021-11-11,107500.000000,108000.000000,105500.000000,107500.000000,107500.000000,2731498
2021-11-12,109000.000000,109500.000000,105500.000000,106500.000000,106500.000000,1786165
2021-11-15,108500.000000,111500.000000,108000.000000,111000.000000,111000.000000,4701568
2021-11-16,111000.000000,113000.000000,109000.000000,112000.000000,112000.000000,3767311
2021-11-17,113000.000000,113000.000000,110000.000000,110500.000000,110500.000000,3062491
2021-11-18,110000.000000,111000.000000,109000.000000,110000.000000,110000.000000,1919087
